[2013-12-26 07:10:22.563] [TRACE] gameLogger - Player anonattempting to join game: null
[2013-12-26 19:23:59.261] [TRACE] gameLogger - Game #13540 was created by HOST:IvoopsaUV0p2CKL67vN_
[2013-12-26 20:13:47.830] [TRACE] gameLogger - Game #54777 was created by HOST:mkStOvIduBOj6zrJHAtn
[2013-12-26 20:15:27.328] [TRACE] gameLogger - Game #99357 was created by HOST:wvHQ4LXatFj-AlQ8HiFO
[2013-12-26 20:18:14.440] [TRACE] gameLogger - Game #82113 was created by HOST:uP5F2V6dgGePQJ3UILJN
[2013-12-27 14:40:19.577] [TRACE] gameLogger - Game #48947 was created by HOST:t5XpeivkvLucr8UeEWk9
[2013-12-27 14:51:12.273] [TRACE] gameLogger - Game #5894 was created by HOST:T17oSnIUM8mRrYNDG6l9
[2013-12-27 14:53:26.579] [TRACE] gameLogger - Game #40285 was created by HOST:PsE6S8p_v8POh3MqHa6f
[2013-12-27 15:11:50.942] [TRACE] gameLogger - Game #75114 was created by HOST:hA-qze-UrB0jPcfoLnox
[2013-12-27 15:12:25.732] [TRACE] gameLogger - Game #68529 was created by HOST:Is4iDzueATrqxPvnLxUP
[2013-12-27 15:31:36.149] [TRACE] gameLogger - Game #9832 was created by HOST:YsdVi8DRr7cTrHBYQKfS
[2013-12-27 15:32:52.207] [TRACE] gameLogger - Game #91266 was created by HOST:N5wNGNN-ufbYklIUQbh6
[2013-12-27 15:34:37.633] [TRACE] gameLogger - Game #26027 was created by HOST:shGjb3B7wdAyASBbQ2Wr
[2013-12-27 15:35:32.729] [TRACE] gameLogger - Game #81562 was created by HOST:QZ9yDih1ZNBlQu5LRDzO
[2013-12-27 15:38:31.002] [TRACE] gameLogger - Game #39245 was created by HOST:IwZc0IQAxEGi9mc2RvRV
[2013-12-27 15:39:37.321] [TRACE] gameLogger - Game #65009 was created by HOST:jAf9kUWr7b2wudT-R_Zt
[2013-12-27 22:01:40.772] [TRACE] gameLogger - Game #86777 was created by HOST:bqHJSUubAfLM58cqpcwU
[2013-12-27 22:15:30.692] [TRACE] gameLogger - Game #79031 was created by HOST:afiZFwi6FbVaShHosnmM
[2013-12-27 22:17:08.580] [TRACE] gameLogger - Game #33102 was created by HOST:V2hKoqFhbOoCDyfos9ZW
[2013-12-27 22:23:58.987] [TRACE] gameLogger - Game #72532 was created by HOST:CiQ8PCWeUDrHwh3aui9e
[2013-12-27 22:24:58.680] [TRACE] gameLogger - Game #17662 was created by HOST:fEja_5SAs4AP_3IOuyAO
[2013-12-27 22:26:15.767] [TRACE] gameLogger - Game #86481 was created by HOST:OizVUQ0upPpX6V1MvEvq
[2013-12-27 22:32:18.136] [TRACE] gameLogger - Game #27575 was created by HOST:6t2Em4jhinYc_p5cwdCS
[2013-12-27 22:33:06.386] [TRACE] gameLogger - Game #21853 was created by HOST:SPw66uyAIO0OU-GowdCV
[2013-12-27 22:45:04.104] [TRACE] gameLogger - Game #55549 was created by HOST:SGWXJQgwD49jbDOozVVN
